Sl-No,Mole_frac_water,Temperature,Pressure,Activityt_water,Delta[Act]_comp0,Comp0,Comp1,Ref,IL_SMILES,Cation_SMILES,Anion_SMILES,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
1011,0.4994,303.15,100,0.617,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1012,0.5943,303.15,100,0.736,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1013,0.6997,303.15,100,0.87,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1014,0.8018,303.15,100,0.965,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1015,0.8471,303.15,100,0.971,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1016,0.2043,308.15,100,0.234,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1017,0.2887,308.15,100,0.339,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1018,0.3926,308.15,100,0.473,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1019,0.4994,308.15,100,0.611,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1020,0.5943,308.15,100,0.73,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1021,0.6997,308.15,100,0.865,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1022,0.8018,308.15,100,0.962,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1023,0.8471,308.15,100,0.969,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1024,0.2043,313.15,100,0.229,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1025,0.2887,313.15,100,0.332,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1026,0.3926,313.15,100,0.465,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1027,0.4994,313.15,100,0.604,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1028,0.5943,313.15,100,0.725,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1029,0.6997,313.15,100,0.861,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1030,0.8018,313.15,100,0.96,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1031,0.8471,313.15,100,0.967,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1032,0.2043,318.15,100,0.224,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1033,0.2887,318.15,100,0.326,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1034,0.3926,318.15,100,0.459,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1035,0.4994,318.15,100,0.597,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1036,0.5943,318.15,100,0.718,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1037,0.6997,318.15,100,0.856,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1038,0.8018,318.15,100,0.956,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1039,0.8471,318.15,100,0.962,0.039,water,1-butyl-1-methylpyrrolidinium tricyanomethanide,Havlova and Dohnal (2022),CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,C(=C(C#N)C#N)=[N-],C13H20N4,13,20,4,0,0,0,0,0,0,0
1040,0.547,293.15,100,0.23,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1041,0.629,293.15,100,0.35,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1042,0.686,293.15,100,0.43,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1043,0.799,293.15,100,0.63,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1044,0.819,293.15,100,0.66,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1045,0.86,293.15,100,0.74,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1046,0.888,293.15,100,0.79,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1047,0.903,293.15,100,0.81,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1048,0.944,293.15,100,0.87,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1049,0.631,305.15,100,0.36,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1050,0.678,305.15,100,0.43,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1051,0.754,305.15,100,0.56,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1052,0.821,305.15,100,0.68,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1053,0.876,305.15,100,0.77,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1054,0.916,305.15,100,0.84,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1055,0.95,305.15,100,0.89,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1056,0.974,305.15,100,0.92,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1057,0.516,313.15,100,0.18,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1058,0.575,313.15,100,0.26,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1059,0.641,313.15,100,0.36,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1060,0.656,313.15,100,0.38,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1061,0.727,313.15,100,0.51,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1062,0.765,313.15,100,0.56,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1063,0.826,313.15,100,0.68,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1064,0.873,313.15,100,0.76,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1065,0.902,313.15,100,0.82,0.04,water,1-butyl-3-methylimidazolium bromide,Belusso et al. (2023),CCCCN1C=C[N+](=C1)C.[Br-],CCCCN1C=C[N+](=C1)C,[Br-],C8H15BrN2,8,15,2,0,0,0,0,0,1,0
1066,0.435,298.15,100,0.58,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1067,0.508,298.15,100,0.72,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1068,0.551,298.15,100,0.73,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1069,0.568,298.15,100,0.76,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1070,0.662,298.15,100,0.86,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1071,0.675,298.15,100,0.86,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1072,0.72,298.15,100,0.87,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1073,0.842,298.15,100,0.95,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1074,0.873,298.15,100,0.95,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1075,0.979,298.15,100,0.97,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1076,0.406,313.15,100,0.56,0.05,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1077,0.444,313.15,100,0.62,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1078,0.481,313.15,100,0.66,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1079,0.544,313.15,100,0.73,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1080,0.613,313.15,100,0.78,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1081,0.727,313.15,100,0.89,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1082,0.748,313.15,100,0.88,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1083,0.869,313.15,100,0.93,0.04,water,1-butyl-3-methylimidazolium tetrafluoroborate,Belusso et al. (2023),[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,C8H15BF4N2,8,15,2,0,0,0,4,0,0,0
1084,0.6498,298.2,100,0.376,0.039,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1085,0.6908,298.2,100,0.443,0.039,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1086,0.7607,298.2,100,0.585,0.039,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1087,0.7923,298.2,100,0.653,0.039,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1088,0.8207,298.2,100,0.713,0.039,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1089,0.8301,298.2,100,0.738,0.039,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1090,0.8661,298.2,100,0.808,0.039,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1091,0.8872,298.2,100,0.858,0.039,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1092,0.9037,298.2,100,0.89,0.04,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1093,0.919,298.2,100,0.913,0.04,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1094,0.9403,298.2,100,0.941,0.04,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1095,0.9537,298.2,100,0.961,0.04,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1096,0.9677,298.2,100,0.976,0.04,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1097,0.9815,298.2,100,0.99,0.041,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1098,0.9894,298.2,100,1.005,0.041,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1099,0.998,298.2,100,1.002,0.041,water,1-butyl-3-methylimidazolium chloride,Khan et al. (2014b),CCCCN1C=C[N+](=C1)C.[Cl-],CCCCN1C=C[N+](=C1)C,[Cl-],C8H15ClN2,8,15,2,0,0,0,0,1,0,0
1100,0.74,293.15,100,0.38,0.04,water,2-hydroxy-N-methylethanaminium propionate,Belusso et al. (2023),C(CC)(=O)[O-].OCC[NH2+]C,OCC[NH2+]C,C(CC)(=O)[O-],C6H15NO3,6,15,1,3,0,0,0,0,0,0
1101,0.742,293.15,100,0.39,0.04,water,2-hydroxy-N-methylethanaminium propionate,Belusso et al. (2023),C(CC)(=O)[O-].OCC[NH2+]C,OCC[NH2+]C,C(CC)(=O)[O-],C6H15NO3,6,15,1,3,0,0,0,0,0,0
1102,0.794,293.15,100,0.46,0.04,water,2-hydroxy-N-methylethanaminium propionate,Belusso et al. (2023),C(CC)(=O)[O-].OCC[NH2+]C,OCC[NH2+]C,C(CC)(=O)[O-],C6H15NO3,6,15,1,3,0,0,0,0,0,0
1103,0.845,293.15,100,0.57,0.04,water,2-hydroxy-N-methylethanaminium propionate,Belusso et al. (2023),C(CC)(=O)[O-].OCC[NH2+]C,OCC[NH2+]C,C(CC)(=O)[O-],C6H15NO3,6,15,1,3,0,0,0,0,0,0
1104,0.872,293.15,100,0.64,0.04,water,2-hydroxy-N-methylethanaminium propionate,Belusso et al. (2023),C(CC)(=O)[O-].OCC[NH2+]C,OCC[NH2+]C,C(CC)(=O)[O-],C6H15NO3,6,15,1,3,0,0,0,0,0,0
1105,0.9,293.15,100,0.71,0.04,water,2-hydroxy-N-methylethanaminium propionate,Belusso et al. (2023),C(CC)(=O)[O-].OCC[NH2+]C,OCC[NH2+]C,C(CC)(=O)[O-],C6H15NO3,6,15,1,3,0,0,0,0,0,0
